categorie,logiciel_libre_mac,logiciel_proprietaire,fonctionnalite,logiciel_libre_windows,logiciel_libre_linux,logiciel_libre_bsd
Graphisme,BRL-CAD,"3D Turbo,NX (Unigraphics),CATIA,SolidWorks",Conception assistée par ordinateur,"BRL-CAD,HeeksCAD","BRL-CAD,HeeksCAD",
Graphisme,"LibO Draw,OOo Draw,DrawSWF,Inkscape,JGenerator,Sodipodi,Xfig","Adobe Illustrator,CorelDraw,Adobe Flash",Dessin vectoriel,"LibO Draw,OOo Draw,DrawSWF,Inkscape,JGenerator,Sodipodi","LibO Draw,OOo Draw,DrawSWF,Inkscape,JGenerator,Sodipodi,Xfig","LibO Draw,OOo Draw,Inkscape,Sodipodi,Xfig"
Graphisme,"Art of Illusion,Blender,K-3D,POV-Ray,Wings 3D,YafaRay","3D Turbo,Cinema 4D,3ds Max,Maya,Google SketchUp,Softimage","Modélisation 3D,, Rendu, ,Ray Tracing","Art of Illusion,Blender,K-3D,OpenFX,POV-Ray,Wings 3D,YafaRay","Art of Illusion,Blender,K-3D,POV-Ray,Sabrina,Wings 3D,YafaRay","Art of Illusion,Blender"
Graphisme,Gwenview,"ACDSee,Adobe Photoshop LightRoom,Apple Aperture,iPhoto,Picasa",Gestionnaire d'images,JBrout,"DigiKam,JBrout,KPhotoAlbum,GThumb,F-Spot,GQView,Darktable,Gwenview","DigiKam,KPhotoAlbum,GThumb,F-Spot,GQView,Darktable,Gwenview"
Graphisme,"GIMP,Mypaint,Pinta","Photoshop,Corel Photo-Paint,OpenCanvas,Corel Paint Shop Pro,PhotoFiltre,Paint.NET","Retouche d'image,, ,Dessin bitmap","Krita,GIMP,Mypaint,Pinta","Krita,GIMP,Mypaint,Pinta","Krita,GIMP,Mypaint,Pinta"
Graphisme,"Ekspos,GQView,Jcap,KuickShow","IrfanView,Konvertor,XnView,ACDSee",Visionneuse d'images,"Ekspos,Jcap,Cornice","Ekspos,GQView,Jcap,KuickShow,Cornice,Gwenview","GQView,KuickShow,Gwenview"
Internet,"Dillo,Camino,Epiphany,Firefox,Flock,Chromium,Iron,Galeon,Konqueror,Lynx,SeaMonkey,Shiira","Internet Explorer,Google Chrome,Opera,Safari",Navigateur Web,"Firefox,Flock,Chromium,Iron,K-Meleon,Lynx,SeaMonkey","Dillo,Epiphany,Firefox,Flock,Chromium,Iron,Galeon,Iceweasel,Konqueror,Links,Lynx,Midori,SeaMonkey,w3m","Dillo,Epiphany,Firefox,Chromium,Links,Lynx,Midori,SeaMonkey,w3m"
Internet,"Evolution,GNUMail,KMail,Mutt,Sylpheed,Thunderbird","Apple Mail,Outlook Express",Client de messagerie,"Claws Mail,Evolution,Sylpheed,Thunderbird","Balsa,Claws Mail,Evolution,GNUMail,KMail,Libremail,Mutt,Sylpheed,Thunderbird","Balsa,Claws Mail,Evolution,GNUMail,Mutt,Sylpheed,Thunderbird"
Internet,"Adium X,CenterICQ,Jitsi,Pidgin,JChatIRC,Kopete,PSI","AOL Instant Messenger,Google Talk,ICQ,iChat,Windows Live Messenger,Yahoo! Messenger","Client de ,messagerie instantanée","emesene,CenterICQ,Jitsi,Pidgin,JChatIRC,Miranda IM,PSI","emesene,Ayttm,CenterICQ,Jitsi,Pidgin,JChatIRC,Kopete,PSI,Empathy","emesene,Ayttm,CenterICQ,Jitsi,Pidgin,Kopete,PSI,Empathy"
Internet,"Jitsi,Ekiga","iChat,Windows Live Messenger,NetMeeting,Orange Link",Visioconférence,"Jitsi,Ekiga","Jitsi,Ekiga","Jitsi,Ekiga"
